name,taste
彩虹蛋糕,甜
经典彩虹6寸,甜
榴莲千层,甜
黑森林切块,甜
马卡龙,甜
榴莲盒子慕斯蛋糕,甜
草莓抱抱,甜
翻糖迷你蛋糕,甜
酸奶慕斯,甜
蔓越莓曲奇饼干,甜
咖啡ufo,甜
甜点,甜
榴莲爆浆芝士,甜
朗姆酒经典芝士,甜
卡布奇诺,甜
热可可,甜
栗子蛋糕,甜
红丝绒切块,甜
巧克力慕斯,甜
推推乐,甜
蛋黄酥（4粒）,甜
可可奶昔包,甜
芒果盒子慕斯蛋糕,甜
甜心物语,甜
彩虹面包,甜
摩卡,甜
抹茶盒子慕斯蛋糕,甜
经典冻芝士,甜
芝士蛋糕,甜
淡奶油,甜
奶油蛋糕,甜
心太软,甜
迷你泡芙,甜
拿破仑切块,甜
丹麦吐司,甜
玫瑰之约,甜
布朗尼,甜
树莓恋人,甜
乳酪墨西哥,甜
水果捞蛋糕,甜
蛋糕胚,甜
吸吸包,甜
红枣姜汤,甜
巧克力泡芙,甜
草莓酸奶,甜
神秘九宫格,甜
树莓慕斯,甜
玫瑰水果茶,甜
椰蓉土司,甜
彩虹很芒,甜
拿破仑,甜
黑色泡芙,甜
奥利奥面包,甜
丹麦奶酥,甜
脆皮芝士,甜
彩虹蛋糕,甜
牛角包,甜
提拉米苏杯,甜
乳酪蛋糕,甜
奶油蛋糕,甜
杂粮欧包,甜
抹茶红豆麻薯包,甜
全麦面包,甜
三明治,咸
蔓越莓乳酪,甜
黑森林,甜
菠萝包,甜
巧克力泡芙,甜
芝士面包,甜
红豆土司,甜
水果花园,甜
六英寸小蛋糕,甜
奶酪包,甜
摩卡蛋糕,甜
提拉米苏,甜
摩卡杏仁,甜
彩虹卷,甜
巧克力芝士,甜
酥皮丹麦热狗,甜
榴莲酥,甜
四季水果,甜
福寿安康,甜
水果忍者,甜
麋鹿,甜
酒醉探戈,甜
巧克力乐园,甜
抹茶泡芙,甜
水果蛋糕,甜
生日蛋糕8寸,甜
松松蛋糕,甜
柠檬之恋,甜
草莓蛋糕,甜
水果王国,甜
盛夏,甜
瑞士卷,甜
香蕉慕斯,甜
摩卡坚果,甜
奶香片,甜
全麦营养餐包,甜
草莓甜心,甜
水果,甜
奶油蛋糕,甜
白雪公主,甜
四拼蛋糕,甜
小公主蛋糕,甜
翻糖原创米奇蛋糕,甜
